human_symbol,human_ensembl_id,mouse_symbol,mouse_ensembl_id,category,sources,evidence_score
RELA,ENSG00000173039,Rela,ENSMUSG00000024927,Anti-apoptotic,"GO_Anti_Human,Hallmark,KEGG",3
XIAP,ENSG00000101966,Xiap,ENSMUSG00000025860,Anti-apoptotic,"GO_Anti_Human,Hallmark,Reactome",3
ANXA1,ENSG00000135046,Anxa1,ENSMUSG00000024659,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
BCL10,ENSG00000142867,Bcl10,ENSMUSG00000028191,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
BCL2L1,ENSG00000171552,Bcl2l1,ENSMUSG00000007659,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
BCL2L10,ENSG00000137875,Bcl2l10,ENSMUSG00000032191,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
BID,ENSG00000015475,Bid,ENSMUSG00000004446,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
BNIP3L,ENSG00000104765,"Bnip3l,Bnip3l-ps",,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
CASP2,ENSG00000106144,Casp2,ENSMUSG00000029863,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
CASP3,ENSG00000164305,Casp3,ENSMUSG00000031628,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
CASP8,ENSG00000064012,Casp8,ENSMUSG00000026029,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
CAV1,ENSG00000105974,Cav1,ENSMUSG00000007655,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
CFLAR,ENSG00000003402,Cflar,ENSMUSG00000026031,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
CLU,ENSG00000120885,Clu,ENSMUSG00000022037,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
CTNNB1,ENSG00000168036,Ctnnb1,ENSMUSG00000006932,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,Reactome",4
DNAJA1,ENSG00000086061,Dnaja1,ENSMUSG00000028410,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
F2R,ENSG00000181104,F2r,ENSMUSG00000048376,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
FAS,ENSG00000026103,Fas,ENSMUSG00000024778,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG",4
FASLG,ENSG00000117560,Fasl,ENSMUSG00000000817,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
IL6,ENSG00000136244,Il6,ENSMUSG00000025746,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
MCL1,ENSG00000143384,Mcl1,ENSMUSG00000038612,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
PSEN1,ENSG00000080815,Psen1,ENSMUSG00000019969,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
PSEN2,ENSG00000143801,Psen2,ENSMUSG00000010609,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
SOD1,ENSG00000142168,Sod1,ENSMUSG00000022982,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
SOD2,ENSG00000291237,Sod2,ENSMUSG00000006818,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
SQSTM1,ENSG00000161011,Sqstm1,ENSMUSG00000015837,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark",3
TNF,ENSG00000228321,Tnf,ENSMUSG00000024401,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
TNFSF10,ENSG00000121858,Tnfsf10,ENSMUSG00000039304,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
ADD1,ENSG00000087274,Add1,ENSMUSG00000029106,Unspecified,"Hallmark,Reactome",2
AIFM3,ENSG00000183773,Aifm3,ENSMUSG00000022763,Unspecified,Hallmark,1
ANKH,ENSG00000154122,Ank,ENSMUSG00000022265,Unspecified,Hallmark,1
APP,ENSG00000142192,App,ENSMUSG00000022892,Unspecified,"Hallmark,Reactome",2
AVPR1A,ENSG00000166148,Avpr1a,ENSMUSG00000020123,Unspecified,Hallmark,1
BGN,ENSG00000182492,Bgn,ENSMUSG00000031375,Unspecified,Hallmark,1
BIK,ENSG00000100290,Bik,ENSMUSG00000016758,Unspecified,Hallmark,1
BTG2,ENSG00000159388,Btg2,ENSMUSG00000020423,Unspecified,Hallmark,1
BTG3,ENSG00000281484,Btg3,ENSMUSG00000022863,Unspecified,Hallmark,1
CASP6,ENSG00000138794,Casp6,ENSMUSG00000027997,Unspecified,"Hallmark,KEGG,Reactome",3
CASP7,ENSG00000165806,Casp7,ENSMUSG00000025076,Unspecified,"Hallmark,KEGG,Reactome",3
CCNA1,ENSG00000133101,Ccna1,ENSMUSG00000027793,Unspecified,Hallmark,1
CCND1,ENSG00000110092,Ccnd1,ENSMUSG00000070348,Unspecified,Hallmark,1
CD14,ENSG00000170458,Cd14,ENSMUSG00000051439,Unspecified,Hallmark,1
CD2,ENSG00000116824,Cd2,ENSMUSG00000027863,Unspecified,Hallmark,1
CD69,ENSG00000110848,Cd69,ENSMUSG00000030156,Unspecified,Hallmark,1
CDC25B,ENSG00000101224,Cdc25b,ENSMUSG00000027330,Unspecified,"Hallmark,Reactome",2
CDK2,ENSG00000123374,Cdk2,ENSMUSG00000025358,Unspecified,Hallmark,1
CDKN1A,ENSG00000124762,Cdkn1a,ENSMUSG00000023067,Unspecified,Hallmark,1
CDKN1B,ENSG00000111276,Cdkn1b,ENSMUSG00000003031,Unspecified,Hallmark,1
CREBBP,ENSG00000005339,Crebbp,ENSMUSG00000022521,Unspecified,Hallmark,1
CTH,ENSG00000116761,Cth,ENSMUSG00000028179,Unspecified,Hallmark,1
DAP3,ENSG00000132676,Dap3,ENSMUSG00000068921,Unspecified,Hallmark,1
DCN,ENSG00000011465,Dcn,ENSMUSG00000019929,Unspecified,Hallmark,1
DPYD,ENSG00000188641,Dpyd,ENSMUSG00000033308,Unspecified,Hallmark,1
EBP,ENSG00000147155,Ebp,ENSMUSG00000031168,Unspecified,Hallmark,1
EMP1,ENSG00000134531,Emp1,ENSMUSG00000030208,Unspecified,Hallmark,1
ENO2,ENSG00000111674,Eno2,ENSMUSG00000004267,Unspecified,Hallmark,1
ERBB2,ENSG00000141736,Erbb2,ENSMUSG00000062312,Unspecified,Hallmark,1
EREG,ENSG00000124882,Ereg,ENSMUSG00000029377,Unspecified,Hallmark,1
ETF1,ENSG00000120705,Etf1,ENSMUSG00000024360,Unspecified,Hallmark,1
F2,ENSG00000180210,F2,ENSMUSG00000027249,Unspecified,Hallmark,1
FDXR,ENSG00000161513,Fdxr,ENSMUSG00000018861,Unspecified,Hallmark,1
FEZ1,ENSG00000149557,Fez1,ENSMUSG00000032118,Unspecified,Hallmark,1
GCH1,ENSG00000131979,Gch1,ENSMUSG00000037580,Unspecified,Hallmark,1
GNA15,ENSG00000060558,Gna15,ENSMUSG00000034792,Unspecified,Hallmark,1
GPX3,ENSG00000211445,Gpx3,ENSMUSG00000018339,Unspecified,Hallmark,1
GPX4,ENSG00000167468,Gpx4,ENSMUSG00000075706,Unspecified,Hallmark,1
GSR,ENSG00000104687,Gsr,ENSMUSG00000031584,Unspecified,Hallmark,1
GSTM1,ENSG00000134184,Gstm2,ENSMUSG00000040562,Unspecified,Hallmark,1
GUCY2D,ENSG00000132518,Gucy2e,ENSMUSG00000020890,Unspecified,Hallmark,1
H1-0,ENSG00000189060,H1f0,ENSMUSG00000096210,Unspecified,"Hallmark,Reactome",2
HMGB2,ENSG00000164104,Hmgb2,ENSMUSG00000054717,Unspecified,"Hallmark,Reactome",2
IER3,ENSG00000237155,Ier3,ENSMUSG00000003541,Unspecified,Hallmark,1
IFITM3,ENSG00000142089,Ifitm3,ENSMUSG00000025492,Unspecified,Hallmark,1
IFNGR1,ENSG00000027697,Ifngr1,ENSMUSG00000020009,Unspecified,Hallmark,1
IGF2R,ENSG00000197081,Igf2r,ENSMUSG00000023830,Unspecified,Hallmark,1
IGFBP6,ENSG00000167779,Igfbp6,ENSMUSG00000023046,Unspecified,Hallmark,1
IL18,ENSG00000150782,Il18,ENSMUSG00000039217,Unspecified,Hallmark,1
IRF1,ENSG00000125347,Irf1,ENSMUSG00000018899,Unspecified,Hallmark,1
ISG20,ENSG00000172183,Isg20,ENSMUSG00000039236,Unspecified,Hallmark,1
LMNA,ENSG00000160789,Lmna,ENSMUSG00000028063,Unspecified,"Hallmark,Reactome",2
LUM,ENSG00000139329,Lum,ENSMUSG00000036446,Unspecified,Hallmark,1
MADD,ENSG00000110514,Madd,ENSMUSG00000040687,Unspecified,Hallmark,1
MMP2,ENSG00000087245,Mmp2,ENSMUSG00000031740,Unspecified,Hallmark,1
NEDD9,ENSG00000111859,Nedd9,ENSMUSG00000021365,Unspecified,Hallmark,1
NEFH,ENSG00000100285,Nefh,ENSMUSG00000020396,Unspecified,Hallmark,1
PAK1,ENSG00000149269,Pak1,ENSMUSG00000030774,Unspecified,Hallmark,1
PDGFRB,ENSG00000113721,Pdgfrb,ENSMUSG00000024620,Unspecified,Hallmark,1
PLAT,ENSG00000104368,Plat,ENSMUSG00000031538,Unspecified,Hallmark,1
PLCB2,ENSG00000137841,Plcb2,ENSMUSG00000040061,Unspecified,Hallmark,1
PLPPR4,ENSG00000117600,Plppr4,ENSMUSG00000044667,Unspecified,Hallmark,1
PPP2R5B,ENSG00000068971,Ppp2r5b,ENSMUSG00000024777,Unspecified,Hallmark,1
PRF1,ENSG00000180644,Prf1,ENSMUSG00000037202,Unspecified,Hallmark,1
RARA,ENSG00000131759,Rara,ENSMUSG00000037992,Unspecified,Hallmark,1
RETSAT,ENSG00000042445,Retsat,ENSMUSG00000056666,Unspecified,Hallmark,1
RNASEL,ENSG00000135828,Rnasel,ENSMUSG00000066800,Unspecified,Hallmark,1
ROCK1,ENSG00000067900,Rock1,ENSMUSG00000024290,Unspecified,"Hallmark,Reactome",2
SAT1,ENSG00000130066,Sat1,ENSMUSG00000025283,Unspecified,Hallmark,1
SATB1,ENSG00000182568,Satb1,ENSMUSG00000023927,Unspecified,"Hallmark,Reactome",2
SC5D,ENSG00000109929,Sc5d,ENSMUSG00000032018,Unspecified,Hallmark,1
SLC20A1,ENSG00000144136,Slc20a1,ENSMUSG00000027397,Unspecified,Hallmark,1
SMAD7,ENSG00000101665,Smad7,ENSMUSG00000025880,Unspecified,Hallmark,1
SPTAN1,ENSG00000197694,Sptan1,ENSMUSG00000057738,Unspecified,"Hallmark,Reactome",2
TAP1,ENSG00000168394,Tap1,ENSMUSG00000037321,Unspecified,Hallmark,1
TGFBR3,ENSG00000069702,Tgfbr3,ENSMUSG00000029287,Unspecified,Hallmark,1
TIMP1,ENSG00000102265,Timp1,ENSMUSG00000001131,Unspecified,Hallmark,1
TIMP2,ENSG00000035862,Timp2,ENSMUSG00000017466,Unspecified,Hallmark,1
TSPO,ENSG00000100300,Tspo,ENSMUSG00000041736,Unspecified,Hallmark,1
TXNIP,ENSG00000265972,Txnip,ENSMUSG00000038393,Unspecified,Hallmark,1
WEE1,ENSG00000166483,Wee1,ENSMUSG00000031016,Unspecified,Hallmark,1
