human_symbol,human_ensembl_id,mouse_symbol,mouse_ensembl_id,category,sources,evidence_score
YWHAH,ENSG00000128245,Ywhah,ENSMUSG00000018965,Pro-apoptotic,"GO_Pro_Human,Reactome",2
YWHAQ,ENSG00000134308,"Ywhaq,Ywhaq-ps3",,Pro-apoptotic,"GO_Pro_Human,Reactome",2
AKT1,ENSG00000142208,Akt1,ENSMUSG00000001729,Anti-apoptotic,"GO_Anti_Human,KEGG,Reactome",3
AKT2,ENSG00000105221,Akt2,ENSMUSG00000004056,Anti-apoptotic,"GO_Anti_Human,KEGG,Reactome",3
APIP,ENSG00000149089,Apip,ENSMUSG00000010911,Anti-apoptotic,"GO_Anti_Human,Reactome",2
ARHGAP10,ENSG00000071205,Arhgap10,ENSMUSG00000037148,Anti-apoptotic,"GO_Anti_Human,Reactome",2
AVEN,ENSG00000169857,Aven,ENSMUSG00000003604,Anti-apoptotic,"GO_Anti_Human,Reactome",2
BIRC2,ENSG00000110330,Birc2,ENSMUSG00000057367,Anti-apoptotic,"GO_Anti_Human,KEGG,Reactome",3
BIRC5,ENSG00000089685,Birc5,ENSMUSG00000017716,Anti-apoptotic,"GO_Anti_Human,Reactome",2
CTSG,ENSG00000100448,Ctsg,ENSMUSG00000040314,Anti-apoptotic,"GO_Anti_Human,Reactome",2
DFFA,ENSG00000160049,Dffa,ENSMUSG00000028974,Anti-apoptotic,"GO_Anti_Human,Hallmark,KEGG,Reactome",4
MAPK1,ENSG00000100030,Mapk1,ENSMUSG00000063358,Anti-apoptotic,"GO_Anti_Human,Reactome",2
MAPK3,ENSG00000102882,Mapk3,ENSMUSG00000063065,Anti-apoptotic,"GO_Anti_Human,Reactome",2
PRDX2,ENSG00000167815,Prdx2,ENSMUSG00000005161,Anti-apoptotic,"GO_Anti_Human,Reactome",2
PRKCD,ENSG00000163932,Prkcd,ENSMUSG00000021948,Anti-apoptotic,"GO_Anti_Human,Reactome",2
PRKCQ,ENSG00000065675,Prkcq,ENSMUSG00000026778,Anti-apoptotic,"GO_Anti_Human,Reactome",2
PROC,ENSG00000115718,Proc,ENSMUSG00000024386,Anti-apoptotic,"GO_Anti_Human,Reactome",2
PSMD10,ENSG00000101843,Psmd10,ENSMUSG00000031429,Anti-apoptotic,"GO_Anti_Human,Reactome",2
PSME3,ENSG00000131467,Psme3,ENSMUSG00000078652,Anti-apoptotic,"GO_Anti_Human,Reactome",2
PTK2,ENSG00000169398,Ptk2,ENSMUSG00000022607,Anti-apoptotic,"GO_Anti_Human,Hallmark,Reactome",3
RNF213,ENSG00000173821,Rnf213,ENSMUSG00000070327,Anti-apoptotic,"GO_Anti_Human,Reactome",2
TJP1,ENSG00000277401,Tjp1,ENSMUSG00000030516,Anti-apoptotic,"GO_Anti_Human,Reactome",2
TNFAIP3,ENSG00000118503,Tnfaip3,ENSMUSG00000019850,Anti-apoptotic,"GO_Anti_Human,Reactome",2
TRIM27,ENSG00000233948,Trim27,ENSMUSG00000021326,Anti-apoptotic,"GO_Anti_Human,Reactome",2
UNC5B,ENSG00000107731,Unc5b,ENSMUSG00000020099,Anti-apoptotic,"GO_Anti_Human,Reactome",2
XIAP,ENSG00000101966,Xiap,ENSMUSG00000025860,Anti-apoptotic,"GO_Anti_Human,Hallmark,Reactome",3
BCL2,ENSG00000171791,Bcl2,ENSMUSG00000057329,Ambiguous,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",4
BCL2L1,ENSG00000171552,Bcl2l1,ENSMUSG00000007659,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
BCL6,ENSG00000113916,Bcl6,ENSMUSG00000022508,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Reactome",3
BID,ENSG00000015475,Bid,ENSMUSG00000004446,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
CASP3,ENSG00000164305,Casp3,ENSMUSG00000031628,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
CASP8,ENSG00000064012,Casp8,ENSMUSG00000026029,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
CFLAR,ENSG00000003402,Cflar,ENSMUSG00000026031,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
CTNNB1,ENSG00000168036,Ctnnb1,ENSMUSG00000006932,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,Reactome",4
FADD,ENSG00000168040,Fadd,ENSMUSG00000031077,Ambiguous,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",4
FASLG,ENSG00000117560,Fasl,ENSMUSG00000000817,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
MAPK8,ENSG00000107643,Mapk8,ENSMUSG00000021936,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Reactome",3
RIPK1,ENSG00000137275,Ripk1,ENSMUSG00000021408,Ambiguous,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",4
RPS27A,ENSG00000143947,Rps27a,ENSMUSG00000020460,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Reactome",3
TNF,ENSG00000228321,Tnf,ENSMUSG00000024401,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
TNFRSF10A,ENSG00000104689,Tnfrsf10b,ENSMUSG00000022074,Ambiguous,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",4
TNFRSF10B,ENSG00000120889,,,Ambiguous,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",4
TNFSF10,ENSG00000121858,Tnfsf10,ENSMUSG00000039304,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Hallmark,KEGG,Reactome",5
TP53,ENSG00000141510,Trp53,ENSMUSG00000059552,Ambiguous,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",4
TRADD,ENSG00000102871,Tradd,ENSMUSG00000031887,Ambiguous,"GO_Anti_Human,GO_Pro_Human,KEGG,Reactome",4
UBA52,ENSG00000221983,Uba52-ps1,,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Reactome",3
UBB,ENSG00000170315,,,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Reactome",3
UBC,ENSG00000150991,Ubc,ENSMUSG00000008348,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Reactome",3
YWHAE,ENSG00000274474,Ywhae,ENSMUSG00000020849,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Reactome",3
YWHAZ,ENSG00000164924,Ywhaz,ENSMUSG00000022285,Ambiguous,"GO_Anti_Human,GO_Pro_Human,Reactome",3
ACIN1,ENSG00000100813,Acin1,ENSMUSG00000022185,Unspecified,Reactome,1
ADD1,ENSG00000087274,Add1,ENSMUSG00000029106,Unspecified,"Hallmark,Reactome",2
AKT3,ENSG00000117020,Akt3,ENSMUSG00000019699,Unspecified,"KEGG,Reactome",2
APP,ENSG00000142192,App,ENSMUSG00000022892,Unspecified,"Hallmark,Reactome",2
APPL1,ENSG00000157500,Appl1,ENSMUSG00000040760,Unspecified,Reactome,1
BCL2L14,ENSG00000121380,Bcl2l14,ENSMUSG00000030200,Unspecified,Reactome,1
BMX,ENSG00000102010,Bmx,ENSMUSG00000031377,Unspecified,Reactome,1
CAPN1,ENSG00000014216,Capn1,ENSMUSG00000024942,Unspecified,"KEGG,Reactome",2
CAPN2,ENSG00000162909,Capn2,ENSMUSG00000026509,Unspecified,"KEGG,Reactome",2
CAPNS1,ENSG00000126247,Capns1,ENSMUSG00000001794,Unspecified,Reactome,1
CAPNS2,ENSG00000256812,Capns2,ENSMUSG00000078144,Unspecified,Reactome,1
CASP6,ENSG00000138794,Casp6,ENSMUSG00000027997,Unspecified,"Hallmark,KEGG,Reactome",3
CASP7,ENSG00000165806,Casp7,ENSMUSG00000025076,Unspecified,"Hallmark,KEGG,Reactome",3
CDC25A,ENSG00000164045,Cdc25a,ENSMUSG00000032477,Unspecified,Reactome,1
CDC25B,ENSG00000101224,Cdc25b,ENSMUSG00000027330,Unspecified,"Hallmark,Reactome",2
CDC25C,ENSG00000158402,Cdc25c,ENSMUSG00000044201,Unspecified,Reactome,1
CLSPN,ENSG00000092853,Clspn,ENSMUSG00000042489,Unspecified,Reactome,1
DBNL,ENSG00000136279,Dbnl,ENSMUSG00000020476,Unspecified,Reactome,1
DCC,ENSG00000187323,Dcc,ENSMUSG00000060534,Unspecified,Reactome,1
DFFB,ENSG00000169598,Dffb,ENSMUSG00000029027,Unspecified,"KEGG,Reactome",2
DSG1,ENSG00000134760,"Dsg1a,Dsg1b",,Unspecified,Reactome,1
DSG2,ENSG00000046604,Dsg2,ENSMUSG00000044393,Unspecified,Reactome,1
DSG3,ENSG00000134757,Dsg3,ENSMUSG00000056632,Unspecified,Reactome,1
DSPP,ENSG00000152591,,,Unspecified,Reactome,1
DYNLL1,ENSG00000088986,Dynll1,ENSMUSG00000009013,Unspecified,Reactome,1
DYNLL2,ENSG00000264364,Dynll2,ENSMUSG00000020483,Unspecified,Reactome,1
ERC2,ENSG00000187672,Erc2,ENSMUSG00000040640,Unspecified,Reactome,1
FASN,ENSG00000169710,Fasn,ENSMUSG00000025153,Unspecified,Reactome,1
FNTA,ENSG00000168522,Fnta,ENSMUSG00000015994,Unspecified,Reactome,1
FZR1,ENSG00000105325,Fzr1,ENSMUSG00000020235,Unspecified,Reactome,1
GAS2,ENSG00000148935,Gas2,ENSMUSG00000030498,Unspecified,Reactome,1
GOLGA2,ENSG00000167110,Golga2,ENSMUSG00000002546,Unspecified,Reactome,1
GSDMD,ENSG00000104518,Gsdmd,ENSMUSG00000022575,Unspecified,Reactome,1
H1-0,ENSG00000189060,H1f0,ENSMUSG00000096210,Unspecified,"Hallmark,Reactome",2
H1-1,ENSG00000124610,,,Unspecified,Reactome,1
H1-2,ENSG00000187837,H1f2,ENSMUSG00000036181,Unspecified,Reactome,1
H1-3,ENSG00000124575,H1f3,ENSMUSG00000052565,Unspecified,Reactome,1
H1-4,ENSG00000168298,,,Unspecified,Reactome,1
H1-5,ENSG00000184357,,,Unspecified,Reactome,1
HMGB2,ENSG00000164104,Hmgb2,ENSMUSG00000054717,Unspecified,"Hallmark,Reactome",2
KPNA1,ENSG00000114030,Kpna1,ENSMUSG00000022905,Unspecified,Reactome,1
KPNB1,ENSG00000108424,Kpnb1,ENSMUSG00000001440,Unspecified,Reactome,1
LMNA,ENSG00000160789,Lmna,ENSMUSG00000028063,Unspecified,"Hallmark,Reactome",2
LMNB1,ENSG00000113368,Lmnb1,ENSMUSG00000024590,Unspecified,Reactome,1
LY96,ENSG00000154589,Ly96,ENSMUSG00000025779,Unspecified,Reactome,1
MAGED1,ENSG00000179222,Maged1,ENSMUSG00000025151,Unspecified,Reactome,1
MED12,ENSG00000184634,Med12,ENSMUSG00000079487,Unspecified,Reactome,1
MPZ,ENSG00000158887,Mpz,ENSMUSG00000056569,Unspecified,Reactome,1
NDRG1,ENSG00000104419,Ndrg1,ENSMUSG00000005125,Unspecified,Reactome,1
NDUFA2,ENSG00000131495,Ndufa2,ENSMUSG00000014294,Unspecified,Reactome,1
OCLN,ENSG00000197822,Ocln,ENSMUSG00000021638,Unspecified,Reactome,1
OTUD7B,ENSG00000264522,Otud7b,ENSMUSG00000038495,Unspecified,Reactome,1
PERP,ENSG00000112378,Perp,ENSMUSG00000019851,Unspecified,Reactome,1
PKN2,ENSG00000065243,Pkn2,ENSMUSG00000004591,Unspecified,Reactome,1
PKP1,ENSG00000081277,Pkp1,ENSMUSG00000026413,Unspecified,Reactome,1
PLEC,ENSG00000178209,Plec,ENSMUSG00000022565,Unspecified,Reactome,1
PRDX1,ENSG00000117450,Prdx1,ENSMUSG00000028691,Unspecified,Reactome,1
PSMA1,ENSG00000129084,Psma1,ENSMUSG00000030751,Unspecified,Reactome,1
PSMA2,ENSG00000106588,Psma2,ENSMUSG00000015671,Unspecified,Reactome,1
PSMA3,ENSG00000100567,Psma3,ENSMUSG00000060073,Unspecified,Reactome,1
PSMA4,ENSG00000041357,Psma4,ENSMUSG00000032301,Unspecified,Reactome,1
PSMA5,ENSG00000143106,Psma5,ENSMUSG00000068749,Unspecified,Reactome,1
PSMA6,ENSG00000100902,Psma6,ENSMUSG00000021024,Unspecified,Reactome,1
PSMA7,ENSG00000101182,Psma7,ENSMUSG00000027566,Unspecified,Reactome,1
PSMA8,ENSG00000154611,Psma8,ENSMUSG00000036743,Unspecified,Reactome,1
PSMB1,ENSG00000008018,Psmb1,ENSMUSG00000014769,Unspecified,Reactome,1
PSMB10,ENSG00000205220,Psmb10,ENSMUSG00000031897,Unspecified,Reactome,1
PSMB11,ENSG00000222028,Psmb11,ENSMUSG00000072423,Unspecified,Reactome,1
PSMB2,ENSG00000126067,Psmb2,ENSMUSG00000028837,Unspecified,Reactome,1
PSMB3,ENSG00000277791,Psmb3,ENSMUSG00000069744,Unspecified,Reactome,1
PSMB4,ENSG00000159377,Psmb4,ENSMUSG00000005779,Unspecified,Reactome,1
PSMB5,ENSG00000100804,Psmb5,ENSMUSG00000022193,Unspecified,Reactome,1
PSMB6,ENSG00000142507,Psmb6,ENSMUSG00000018286,Unspecified,Reactome,1
PSMB7,ENSG00000136930,Psmb7,ENSMUSG00000026750,Unspecified,Reactome,1
PSMB8,ENSG00000235715,Psmb8,ENSMUSG00000024338,Unspecified,Reactome,1
PSMB9,ENSG00000239836,Psmb9,ENSMUSG00000096727,Unspecified,Reactome,1
PSMC1,ENSG00000100764,Psmc1,ENSMUSG00000021178,Unspecified,Reactome,1
PSMC2,ENSG00000161057,Psmc2,ENSMUSG00000028932,Unspecified,Reactome,1
PSMC3,ENSG00000165916,Psmc3,ENSMUSG00000002102,Unspecified,Reactome,1
PSMC4,ENSG00000281221,Psmc4,ENSMUSG00000030603,Unspecified,Reactome,1
PSMC5,ENSG00000087191,Psmc5,ENSMUSG00000020708,Unspecified,Reactome,1
PSMC6,ENSG00000100519,Psmc6,ENSMUSG00000021832,Unspecified,Reactome,1
PSMD11,ENSG00000108671,Psmd11,ENSMUSG00000017428,Unspecified,Reactome,1
PSMD12,ENSG00000197170,Psmd12,ENSMUSG00000020720,Unspecified,Reactome,1
PSMD13,ENSG00000185627,Psmd13,ENSMUSG00000025487,Unspecified,Reactome,1
PSMD14,ENSG00000115233,Psmd14,ENSMUSG00000026914,Unspecified,Reactome,1
PSMD2,ENSG00000175166,Psmd2,ENSMUSG00000006998,Unspecified,Reactome,1
PSMD3,ENSG00000108344,Psmd3,ENSMUSG00000017221,Unspecified,Reactome,1
PSMD4,ENSG00000159352,Psmd4,ENSMUSG00000005625,Unspecified,Reactome,1
PSMD5,ENSG00000095261,Psmd5,ENSMUSG00000026869,Unspecified,Reactome,1
PSMD6,ENSG00000163636,Psmd6,ENSMUSG00000021737,Unspecified,Reactome,1
PSMD7,ENSG00000103035,Psmd7,ENSMUSG00000039067,Unspecified,Reactome,1
PSMD8,ENSG00000099341,Psmd8,ENSMUSG00000030591,Unspecified,Reactome,1
PSMD9,ENSG00000110801,Psmd9,ENSMUSG00000029440,Unspecified,Reactome,1
PSME1,ENSG00000284916,Psme1,ENSMUSG00000022216,Unspecified,Reactome,1
PSME2,ENSG00000284889,Psme2,ENSMUSG00000079197,Unspecified,Reactome,1
PSME4,ENSG00000068878,Psme4,ENSMUSG00000040850,Unspecified,Reactome,1
PSMF1,ENSG00000125818,Psmf1,ENSMUSG00000032869,Unspecified,Reactome,1
RABGGTA,ENSG00000100949,Rabggta,ENSMUSG00000040472,Unspecified,Reactome,1
RABGGTB,ENSG00000137955,Rabggtb,ENSMUSG00000038975,Unspecified,Reactome,1
REXO2,ENSG00000076043,Rexo2,ENSMUSG00000032026,Unspecified,Reactome,1
ROCK1,ENSG00000067900,Rock1,ENSMUSG00000024290,Unspecified,"Hallmark,Reactome",2
SATB1,ENSG00000182568,Satb1,ENSMUSG00000023927,Unspecified,"Hallmark,Reactome",2
SEM1,ENSG00000127922,,,Unspecified,Reactome,1
SPTAN1,ENSG00000197694,Sptan1,ENSMUSG00000057738,Unspecified,"Hallmark,Reactome",2
STAT3,ENSG00000168610,Stat3,ENSMUSG00000004040,Unspecified,Reactome,1
STK24,ENSG00000102572,Stk24,ENSMUSG00000063410,Unspecified,Reactome,1
STK26,ENSG00000134602,Stk26,ENSMUSG00000031112,Unspecified,Reactome,1
TANK,ENSG00000136560,Tank,ENSMUSG00000064289,Unspecified,Reactome,1
TICAM1,ENSG00000127666,Ticam1,ENSMUSG00000047123,Unspecified,Reactome,1
TJP2,ENSG00000119139,Tjp2,ENSMUSG00000024812,Unspecified,Reactome,1
TLR4,ENSG00000136869,Tlr4,ENSMUSG00000039005,Unspecified,Reactome,1
TMED7-TICAM2,ENSG00000251201,,,Unspecified,Reactome,1
TNFRSF1A,ENSG00000067182,Tnfrsf1a,ENSMUSG00000030341,Unspecified,"KEGG,Reactome",2
TP53I3,ENSG00000115129,,,Unspecified,Reactome,1
UNC5A,ENSG00000113763,Unc5a,ENSMUSG00000025876,Unspecified,Reactome,1
USP2,ENSG00000036672,Usp2,ENSMUSG00000032010,Unspecified,Reactome,1
USP25,ENSG00000155313,Usp25,ENSMUSG00000022867,Unspecified,Reactome,1
USP4,ENSG00000114316,Usp4,ENSMUSG00000032612,Unspecified,Reactome,1
VIM,ENSG00000026025,Vim,ENSMUSG00000026728,Unspecified,Reactome,1
