human_symbol,human_ensembl_id,mouse_symbol,mouse_ensembl_id,category,sources,evidence_score
APH1B,ENSG00000138613,Aph1b,ENSMUSG00000032375,Pro-apoptotic,GO_Pro_Human,1
ARHGEF1,ENSG00000076928,Arhgef1,ENSMUSG00000040940,Pro-apoptotic,GO_Pro_Human,1
ARHGEF11,ENSG00000132694,Arhgef11,ENSMUSG00000041977,Pro-apoptotic,GO_Pro_Human,1
ARHGEF12,ENSG00000196914,Arhgef12,ENSMUSG00000059495,Pro-apoptotic,GO_Pro_Human,1
ARHGEF16,ENSG00000130762,Arhgef16,ENSMUSG00000029032,Pro-apoptotic,GO_Pro_Human,1
ARHGEF17,ENSG00000110237,Arhgef17,ENSMUSG00000032875,Pro-apoptotic,GO_Pro_Human,1
ARHGEF18,ENSG00000104880,Arhgef18,ENSMUSG00000004568,Pro-apoptotic,GO_Pro_Human,1
ARHGEF19,ENSG00000291381,Arhgef19,ENSMUSG00000028919,Pro-apoptotic,GO_Pro_Human,1
ARHGEF26,ENSG00000277101,Arhgef26,ENSMUSG00000036885,Pro-apoptotic,GO_Pro_Human,1
ARHGEF3,ENSG00000163947,Arhgef3,ENSMUSG00000021895,Pro-apoptotic,GO_Pro_Human,1
ARHGEF4,ENSG00000136002,Arhgef4,ENSMUSG00000037509,Pro-apoptotic,GO_Pro_Human,1
ARHGEF5,ENSG00000050327,Arhgef5,ENSMUSG00000033542,Pro-apoptotic,GO_Pro_Human,1
ARHGEF6,ENSG00000129675,Arhgef6,ENSMUSG00000031133,Pro-apoptotic,GO_Pro_Human,1
ARHGEF7,ENSG00000102606,Arhgef7,ENSMUSG00000031511,Pro-apoptotic,GO_Pro_Human,1
ARHGEF9,ENSG00000131089,Arhgef9,ENSMUSG00000025656,Pro-apoptotic,GO_Pro_Human,1
ARL6IP5,ENSG00000144746,Arl6ip5,ENSMUSG00000035199,Pro-apoptotic,GO_Pro_Human,1
ATF2,ENSG00000115966,Atf2,ENSMUSG00000027104,Pro-apoptotic,GO_Pro_Human,1
ATF3,ENSG00000162772,Atf3,ENSMUSG00000026628,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
ATF4,ENSG00000128272,Atf4,ENSMUSG00000042406,Pro-apoptotic,GO_Pro_Human,1
ATF6,ENSG00000118217,Atf6,ENSMUSG00000026663,Pro-apoptotic,GO_Pro_Human,1
ATG7,ENSG00000197548,Atg7,ENSMUSG00000030314,Pro-apoptotic,GO_Pro_Human,1
ATM,ENSG00000149311,Atm,ENSMUSG00000034218,Pro-apoptotic,"GO_Pro_Human,KEGG",2
ATP2A3,ENSG00000074370,Atp2a3,ENSMUSG00000020788,Pro-apoptotic,GO_Pro_Human,1
BACE1,ENSG00000186318,Bace1,ENSMUSG00000032086,Pro-apoptotic,GO_Pro_Human,1
BAD,ENSG00000002330,Bad,ENSMUSG00000024959,Pro-apoptotic,"GO_Pro_Human,KEGG,Reactome",3
BAK1,ENSG00000030110,Bak1,ENSMUSG00000057789,Pro-apoptotic,"GO_Pro_Human,Reactome",2
BAX,ENSG00000087088,Bax,ENSMUSG00000003873,Pro-apoptotic,"GO_Pro_Human,Hallmark,KEGG,Reactome",4
BBC3,ENSG00000105327,Bbc3,ENSMUSG00000002083,Pro-apoptotic,"GO_Pro_Human,Reactome",2
BCAP31,ENSG00000185825,Bcap31,ENSMUSG00000002015,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
BCL2L11,ENSG00000153094,Bcl2l11,ENSMUSG00000027381,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
BCL2L13,ENSG00000099968,Bcl2l13,ENSMUSG00000009112,Pro-apoptotic,GO_Pro_Human,1
BCLAF1,ENSG00000029363,Bclaf1,ENSMUSG00000037608,Pro-apoptotic,GO_Pro_Human,1
BECN1,ENSG00000126581,Becn1,ENSMUSG00000035086,Pro-apoptotic,GO_Pro_Human,1
BIN1,ENSG00000136717,Bin1,ENSMUSG00000024381,Pro-apoptotic,GO_Pro_Human,1
BLID,ENSG00000259571,,,Pro-apoptotic,GO_Pro_Human,1
BLK,ENSG00000136573,Blk,ENSMUSG00000014453,Pro-apoptotic,GO_Pro_Human,1
BLOC1S2,ENSG00000196072,Bloc1s2,ENSMUSG00000057506,Pro-apoptotic,GO_Pro_Human,1
BMF,ENSG00000104081,Bmf,ENSMUSG00000040093,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
BMP2,ENSG00000125845,Bmp2,ENSMUSG00000027358,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
BOK,ENSG00000176720,Bok,ENSMUSG00000026278,Pro-apoptotic,GO_Pro_Human,1
BRMS1,ENSG00000174744,Brms1,ENSMUSG00000080268,Pro-apoptotic,GO_Pro_Human,1
BTG1,ENSG00000133639,Btg1,ENSMUSG00000036478,Pro-apoptotic,GO_Pro_Human,1
C1QBP,ENSG00000108561,C1qbp,ENSMUSG00000018446,Pro-apoptotic,"GO_Pro_Human,Reactome",2
C2,ENSG00000231543,C2,ENSMUSG00000024371,Pro-apoptotic,"GO_Pro_Human,GO_Pro_Mouse",2
C3,ENSG00000125730,C3,ENSMUSG00000024164,Pro-apoptotic,"GO_Pro_Human,GO_Pro_Mouse",2
C3ORF38,ENSG00000179021,4930453N24Rik,ENSMUSG00000059920,Pro-apoptotic,GO_Pro_Human,1
C4A,ENSG00000244731,"C4a,C4b",,Pro-apoptotic,GO_Pro_Human,1
C4B,ENSG00000228267,"C4a,C4b",,Pro-apoptotic,GO_Pro_Human,1
CALHM2,ENSG00000138172,Calhm2,ENSMUSG00000033033,Pro-apoptotic,GO_Pro_Human,1
CARD8,ENSG00000105483,,,Pro-apoptotic,"GO_Pro_Human,Reactome",2
CARD9,ENSG00000187796,Card9,ENSMUSG00000026928,Pro-apoptotic,GO_Pro_Human,1
CASP1,ENSG00000137752,Casp1,ENSMUSG00000025888,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
CASP10,ENSG00000003400,,,Pro-apoptotic,"GO_Pro_Human,KEGG",2
CASP12,ENSG00000204403,,,Pro-apoptotic,GO_Pro_Human,1
CASP4,ENSG00000196954,Casp4,ENSMUSG00000033538,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
CASP5,ENSG00000137757,,,Pro-apoptotic,GO_Pro_Human,1
CASP8AP2,ENSG00000288475,Casp8ap2,ENSMUSG00000028282,Pro-apoptotic,GO_Pro_Human,1
CASP9,ENSG00000132906,Casp9,ENSMUSG00000028914,Pro-apoptotic,"GO_Pro_Human,Hallmark,KEGG,Reactome",4
CCAR1,ENSG00000060339,Ccar1,ENSMUSG00000020074,Pro-apoptotic,GO_Pro_Human,1
CCL3,ENSG00000274221,,,Pro-apoptotic,GO_Pro_Human,1
CD160,ENSG00000117281,Cd160,ENSMUSG00000038304,Pro-apoptotic,GO_Pro_Human,1
CD274,ENSG00000120217,Cd274,ENSMUSG00000016496,Pro-apoptotic,GO_Pro_Human,1
CD300LF,ENSG00000186074,Cd300lf,ENSMUSG00000047798,Pro-apoptotic,GO_Pro_Human,1
CD40,ENSG00000101017,Cd40,ENSMUSG00000017652,Pro-apoptotic,GO_Pro_Human,1
CDK5,ENSG00000164885,Cdk5,ENSMUSG00000028969,Pro-apoptotic,"GO_Pro_Human,Reactome",2
CDK5R1,ENSG00000176749,Cdk5r1,ENSMUSG00000048895,Pro-apoptotic,"GO_Pro_Human,Reactome",2
CDKN2A,ENSG00000147889,Cdkn2a,ENSMUSG00000044303,Pro-apoptotic,"GO_Pro_Human,Reactome",2
CHCHD10,ENSG00000273607,Chchd10,ENSMUSG00000049422,Pro-apoptotic,GO_Pro_Human,1
CLEC7A,ENSG00000172243,Clec7a,ENSMUSG00000079293,Pro-apoptotic,GO_Pro_Human,1
CLIP3,ENSG00000105270,Clip3,ENSMUSG00000013921,Pro-apoptotic,GO_Pro_Human,1
COL4A3,ENSG00000169031,Col4a3,ENSMUSG00000079465,Pro-apoptotic,GO_Pro_Human,1
CRADD,ENSG00000169372,Cradd,ENSMUSG00000045867,Pro-apoptotic,GO_Pro_Human,1
CSRNP3,ENSG00000178662,Csrnp3,ENSMUSG00000044647,Pro-apoptotic,GO_Pro_Human,1
CTLA4,ENSG00000163599,Ctla4,ENSMUSG00000026011,Pro-apoptotic,GO_Pro_Human,1
CTNNBL1,ENSG00000132792,Ctnnbl1,ENSMUSG00000027649,Pro-apoptotic,GO_Pro_Human,1
CTSD,ENSG00000117984,Ctsd,ENSMUSG00000007891,Pro-apoptotic,GO_Pro_Human,1
CYCS,ENSG00000172115,Cycs,ENSMUSG00000063694,Pro-apoptotic,"GO_Pro_Human,KEGG,Reactome",3
CYLD,ENSG00000083799,Cyld,ENSMUSG00000036712,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
CYP1B1,ENSG00000138061,Cyp1b1,ENSMUSG00000024087,Pro-apoptotic,GO_Pro_Human,1
DAB2IP,ENSG00000136848,Dab2ip,ENSMUSG00000026883,Pro-apoptotic,GO_Pro_Human,1
DAP,ENSG00000112977,Dap,ENSMUSG00000039168,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
DAPK1,ENSG00000196730,Dapk1,ENSMUSG00000021559,Pro-apoptotic,"GO_Pro_Human,Reactome",2
DAPK2,ENSG00000035664,Dapk2,ENSMUSG00000032380,Pro-apoptotic,"GO_Pro_Human,Reactome",2
DAPK3,ENSG00000167657,Dapk3,ENSMUSG00000034974,Pro-apoptotic,"GO_Pro_Human,Reactome",2
DCUN1D3,ENSG00000188215,Dcun1d3,ENSMUSG00000048787,Pro-apoptotic,GO_Pro_Human,1
DDIT3,ENSG00000175197,Ddit3,ENSMUSG00000025408,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
DDX20,ENSG00000064703,Ddx20,ENSMUSG00000027905,Pro-apoptotic,GO_Pro_Human,1
DEDD2,ENSG00000160570,Dedd2,ENSMUSG00000054499,Pro-apoptotic,GO_Pro_Human,1
DIABLO,ENSG00000184047,Diablo,ENSMUSG00000029433,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
DKKL1,ENSG00000104901,Dkkl1,ENSMUSG00000030792,Pro-apoptotic,GO_Pro_Human,1
DLC1,ENSG00000164741,Dlc1,ENSMUSG00000031523,Pro-apoptotic,GO_Pro_Human,1
DNM1L,ENSG00000087470,Dnm1l,ENSMUSG00000022789,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
DNM2,ENSG00000079805,Dnm2,ENSMUSG00000033335,Pro-apoptotic,GO_Pro_Human,1
DUSP6,ENSG00000139318,Dusp6,ENSMUSG00000019960,Pro-apoptotic,GO_Pro_Human,1
DUSP9,ENSG00000130829,Dusp9,ENSMUSG00000031383,Pro-apoptotic,GO_Pro_Human,1
E2F1,ENSG00000101412,E2f1,ENSMUSG00000027490,Pro-apoptotic,"GO_Pro_Human,Reactome",2
E2F3,ENSG00000112242,E2f3,ENSMUSG00000016477,Pro-apoptotic,GO_Pro_Human,1
ECSCR,ENSG00000249751,Ecscr,ENSMUSG00000073599,Pro-apoptotic,GO_Pro_Human,1
ECT2,ENSG00000114346,Ect2,ENSMUSG00000027699,Pro-apoptotic,GO_Pro_Human,1
EEF1E1,ENSG00000124802,Eef1e1,ENSMUSG00000001707,Pro-apoptotic,GO_Pro_Human,1
EGLN3,ENSG00000129521,Egln3,ENSMUSG00000035105,Pro-apoptotic,GO_Pro_Human,1
EIF2AK3,ENSG00000172071,Eif2ak3,ENSMUSG00000031668,Pro-apoptotic,GO_Pro_Human,1
EIF5A,ENSG00000132507,Eif5a,ENSMUSG00000078812,Pro-apoptotic,GO_Pro_Human,1
EPHA7,ENSG00000135333,Epha7,ENSMUSG00000028289,Pro-apoptotic,GO_Pro_Human,1
ERCC3,ENSG00000163161,Ercc3,ENSMUSG00000024382,Pro-apoptotic,GO_Pro_Human,1
F3,ENSG00000117525,F3,ENSMUSG00000028128,Pro-apoptotic,"GO_Pro_Human,GO_Pro_Mouse",2
FAF1,ENSG00000185104,Faf1,ENSMUSG00000010517,Pro-apoptotic,GO_Pro_Human,1
FAM162A,ENSG00000114023,Fam162a,ENSMUSG00000003955,Pro-apoptotic,GO_Pro_Human,1
FAP,ENSG00000078098,Fap,ENSMUSG00000000392,Pro-apoptotic,GO_Pro_Human,1
FBH1,ENSG00000134452,Fbh1,ENSMUSG00000058594,Pro-apoptotic,GO_Pro_Human,1
FBXW7,ENSG00000109670,Fbxw7,ENSMUSG00000028086,Pro-apoptotic,GO_Pro_Human,1
FGD1,ENSG00000102302,Fgd1,ENSMUSG00000025265,Pro-apoptotic,GO_Pro_Human,1
FGD2,ENSG00000146192,Fgd2,ENSMUSG00000024013,Pro-apoptotic,GO_Pro_Human,1
FGD3,ENSG00000127084,Fgd3,ENSMUSG00000037946,Pro-apoptotic,GO_Pro_Human,1
FGD4,ENSG00000139132,Fgd4,ENSMUSG00000022788,Pro-apoptotic,GO_Pro_Human,1
FIS1,ENSG00000214253,Fis1,ENSMUSG00000019054,Pro-apoptotic,GO_Pro_Human,1
FLCN,ENSG00000154803,Flcn,ENSMUSG00000032633,Pro-apoptotic,GO_Pro_Human,1
FOXA1,ENSG00000129514,Foxa1,ENSMUSG00000035451,Pro-apoptotic,GO_Pro_Human,1
FOXL2,ENSG00000183770,Foxl2,ENSMUSG00000050397,Pro-apoptotic,GO_Pro_Human,1
FOXO3,ENSG00000118689,Foxo3,ENSMUSG00000048756,Pro-apoptotic,"GO_Pro_Human,Reactome",2
FRZB,ENSG00000162998,Frzb,ENSMUSG00000027004,Pro-apoptotic,GO_Pro_Human,1
G0S2,ENSG00000123689,G0s2,ENSMUSG00000009633,Pro-apoptotic,GO_Pro_Human,1
GADD45A,ENSG00000116717,Gadd45a,ENSMUSG00000036390,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
GADD45B,ENSG00000099860,Gadd45b,ENSMUSG00000015312,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
GADD45G,ENSG00000130222,Gadd45g,ENSMUSG00000021453,Pro-apoptotic,GO_Pro_Human,1
GNA13,ENSG00000120063,Gna13,ENSMUSG00000020611,Pro-apoptotic,GO_Pro_Human,1
GPER1,ENSG00000164850,Gper1,ENSMUSG00000053647,Pro-apoptotic,GO_Pro_Human,1
GPLD1,ENSG00000112293,Gpld1,ENSMUSG00000021340,Pro-apoptotic,GO_Pro_Human,1
GRAMD4,ENSG00000075240,Gramd4,ENSMUSG00000035900,Pro-apoptotic,GO_Pro_Human,1
GSDME,ENSG00000105928,Gsdme,ENSMUSG00000029821,Pro-apoptotic,"GO_Pro_Human,Reactome",2
GSK3A,ENSG00000105723,Gsk3a,ENSMUSG00000057177,Pro-apoptotic,"GO_Pro_Human,Reactome",2
GSN,ENSG00000148180,Gsn,ENSMUSG00000026879,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
GZMA,ENSG00000145649,Gzma,ENSMUSG00000023132,Pro-apoptotic,GO_Pro_Human,1
GZMB,ENSG00000100453,,,Pro-apoptotic,"GO_Pro_Human,Reactome",2
HCAR2,ENSG00000182782,Hcar2,ENSMUSG00000045502,Pro-apoptotic,GO_Pro_Human,1
HIP1,ENSG00000127946,Hip1,ENSMUSG00000039959,Pro-apoptotic,GO_Pro_Human,1
HIP1R,ENSG00000130787,Hip1r,ENSMUSG00000000915,Pro-apoptotic,GO_Pro_Human,1
HLA-G,ENSG00000235680,H2-M3,ENSMUSG00000016206,Pro-apoptotic,GO_Pro_Human,1
HMGB1,ENSG00000189403,,,Pro-apoptotic,"GO_Pro_Human,Reactome",2
HOXA5,ENSG00000106004,Hoxa5,ENSMUSG00000038253,Pro-apoptotic,GO_Pro_Human,1
HRG,ENSG00000113905,,,Pro-apoptotic,GO_Pro_Human,1
HRK,ENSG00000135116,,,Pro-apoptotic,GO_Pro_Human,1
HSPE1,ENSG00000115541,Hspe1,ENSMUSG00000073676,Pro-apoptotic,GO_Pro_Human,1
HYAL2,ENSG00000068001,Hyal2,ENSMUSG00000010047,Pro-apoptotic,GO_Pro_Human,1
IAPP,ENSG00000121351,Iapp,ENSMUSG00000041681,Pro-apoptotic,GO_Pro_Human,1
IDO1,ENSG00000131203,Ido1,ENSMUSG00000031551,Pro-apoptotic,GO_Pro_Human,1
IFIT2,ENSG00000119922,Ifit2,ENSMUSG00000045932,Pro-apoptotic,GO_Pro_Human,1
IFNB1,ENSG00000171855,Ifnb1,ENSMUSG00000048806,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
IFNG,ENSG00000111537,Ifng,ENSMUSG00000055170,Pro-apoptotic,GO_Pro_Human,1
IFT57,ENSG00000114446,Ift57,ENSMUSG00000032965,Pro-apoptotic,GO_Pro_Human,1
IGFBP3,ENSG00000146674,Igfbp3,ENSMUSG00000020427,Pro-apoptotic,GO_Pro_Human,1
IL12A,ENSG00000168811,Il12a,ENSMUSG00000027776,Pro-apoptotic,GO_Pro_Human,1
IL12B,ENSG00000113302,Il12b,ENSMUSG00000004296,Pro-apoptotic,GO_Pro_Human,1
ING3,ENSG00000071243,Ing3,ENSMUSG00000029670,Pro-apoptotic,GO_Pro_Human,1
ING4,ENSG00000111653,Ing4,ENSMUSG00000030330,Pro-apoptotic,GO_Pro_Human,1
ING5,ENSG00000168395,Ing5,ENSMUSG00000026283,Pro-apoptotic,GO_Pro_Human,1
INHBA,ENSG00000122641,Inhba,ENSMUSG00000041324,Pro-apoptotic,GO_Pro_Human,1
IP6K2,ENSG00000068745,Ip6k2,ENSMUSG00000032599,Pro-apoptotic,GO_Pro_Human,1
IRF5,ENSG00000128604,Irf5,ENSMUSG00000029771,Pro-apoptotic,GO_Pro_Human,1
ITGA4,ENSG00000115232,Itga4,ENSMUSG00000027009,Pro-apoptotic,GO_Pro_Human,1
ITGAM,ENSG00000169896,Itgam,ENSMUSG00000030786,Pro-apoptotic,GO_Pro_Human,1
ITGB3BP,ENSG00000142856,Itgb3bp,ENSMUSG00000028549,Pro-apoptotic,GO_Pro_Human,1
ITSN1,ENSG00000205726,Itsn1,ENSMUSG00000022957,Pro-apoptotic,GO_Pro_Human,1
JAK2,ENSG00000096968,Jak2,ENSMUSG00000024789,Pro-apoptotic,GO_Pro_Human,1
JMY,ENSG00000152409,Jmy,ENSMUSG00000021690,Pro-apoptotic,GO_Pro_Human,1
JUN,ENSG00000177606,Jun,ENSMUSG00000052684,Pro-apoptotic,"GO_Pro_Human,Hallmark,Reactome",3
KALRN,ENSG00000160145,Kalrn,ENSMUSG00000061751,Pro-apoptotic,GO_Pro_Human,1
KCNMA1,ENSG00000156113,Kcnma1,ENSMUSG00000063142,Pro-apoptotic,GO_Pro_Human,1
KHDC1,ENSG00000135314,,,Pro-apoptotic,GO_Pro_Human,1
KHDC1L,ENSG00000256980,"Khdc1a,Khdc1b,Khdc1c",,Pro-apoptotic,GO_Pro_Human,1
KLF11,ENSG00000172059,Klf11,ENSMUSG00000020653,Pro-apoptotic,GO_Pro_Human,1
KNG1,ENSG00000113889,"Kng1,Kng2",,Pro-apoptotic,GO_Pro_Human,1
LAPTM5,ENSG00000162511,Laptm5,ENSMUSG00000028581,Pro-apoptotic,GO_Pro_Human,1
LATS1,ENSG00000131023,Lats1,ENSMUSG00000040021,Pro-apoptotic,GO_Pro_Human,1
LATS2,ENSG00000150457,Lats2,ENSMUSG00000021959,Pro-apoptotic,GO_Pro_Human,1
LCK,ENSG00000182866,Lck,ENSMUSG00000000409,Pro-apoptotic,GO_Pro_Human,1
LGALS16,ENSG00000249861,,,Pro-apoptotic,GO_Pro_Human,1
LGALS9,ENSG00000168961,,,Pro-apoptotic,GO_Pro_Human,1
LTBR,ENSG00000111321,Ltbr,ENSMUSG00000030339,Pro-apoptotic,GO_Pro_Human,1
LYN,ENSG00000254087,Lyn,ENSMUSG00000042228,Pro-apoptotic,GO_Pro_Human,1
MAP3K10,ENSG00000130758,Map3k10,ENSMUSG00000040390,Pro-apoptotic,GO_Pro_Human,1
MAP3K11,ENSG00000173327,Map3k11,ENSMUSG00000004054,Pro-apoptotic,GO_Pro_Human,1
MAP3K20,ENSG00000091436,Map3k20,ENSMUSG00000004085,Pro-apoptotic,GO_Pro_Human,1
MAP3K5,ENSG00000197442,Map3k5,ENSMUSG00000071369,Pro-apoptotic,GO_Pro_Human,1
MAPT,ENSG00000276155,Mapt,ENSMUSG00000018411,Pro-apoptotic,"GO_Pro_Human,Reactome",2
MCF2,ENSG00000101977,Mcf2,ENSMUSG00000031139,Pro-apoptotic,GO_Pro_Human,1
MCF2L,ENSG00000126217,Mcf2l,ENSMUSG00000031442,Pro-apoptotic,GO_Pro_Human,1
MELK,ENSG00000165304,Melk,ENSMUSG00000035683,Pro-apoptotic,GO_Pro_Human,1
MFN2,ENSG00000116688,Mfn2,ENSMUSG00000029020,Pro-apoptotic,GO_Pro_Human,1
MLLT11,ENSG00000213190,Mllt11,ENSMUSG00000053192,Pro-apoptotic,GO_Pro_Human,1
MNDA,ENSG00000163563,,,Pro-apoptotic,GO_Pro_Human,1
MOAP1,ENSG00000165943,Moap1,ENSMUSG00000096458,Pro-apoptotic,GO_Pro_Human,1
MSX1,ENSG00000163132,Msx1,ENSMUSG00000048450,Pro-apoptotic,GO_Pro_Human,1
MTCH1,ENSG00000137409,Mtch1,ENSMUSG00000024012,Pro-apoptotic,GO_Pro_Human,1
MTCH2,ENSG00000109919,Mtch2,ENSMUSG00000027282,Pro-apoptotic,GO_Pro_Human,1
MUL1,ENSG00000090432,Mul1,ENSMUSG00000041241,Pro-apoptotic,GO_Pro_Human,1
MYBBP1A,ENSG00000132382,Mybbp1a,ENSMUSG00000040463,Pro-apoptotic,GO_Pro_Human,1
NACC2,ENSG00000148411,Nacc2,ENSMUSG00000026932,Pro-apoptotic,GO_Pro_Human,1
NCK1,ENSG00000158092,Nck1,ENSMUSG00000032475,Pro-apoptotic,GO_Pro_Human,1
NCSTN,ENSG00000162736,Ncstn,ENSMUSG00000003458,Pro-apoptotic,GO_Pro_Human,1
NET1,ENSG00000173848,Net1,ENSMUSG00000021215,Pro-apoptotic,GO_Pro_Human,1
NEURL1,ENSG00000107954,Neurl1a,ENSMUSG00000006435,Pro-apoptotic,GO_Pro_Human,1
NF1,ENSG00000196712,Nf1,ENSMUSG00000020716,Pro-apoptotic,GO_Pro_Human,1
NGEF,ENSG00000066248,Ngef,ENSMUSG00000026259,Pro-apoptotic,GO_Pro_Human,1
NKX3-1,ENSG00000167034,Nkx3-1,ENSMUSG00000022061,Pro-apoptotic,GO_Pro_Human,1
NLRC4,ENSG00000091106,Nlrc4,ENSMUSG00000039193,Pro-apoptotic,GO_Pro_Human,1
NLRP1,ENSG00000091592,Nlrp1b,ENSMUSG00000070390,Pro-apoptotic,GO_Pro_Human,1
NLRP12,ENSG00000142405,Nlrp12,ENSMUSG00000078817,Pro-apoptotic,GO_Pro_Human,1
NLRP2,ENSG00000022556,Nlrp2,ENSMUSG00000035177,Pro-apoptotic,GO_Pro_Human,1
NLRP2B,ENSG00000215174,,,Pro-apoptotic,GO_Pro_Human,1
NLRP3,ENSG00000162711,Nlrp3,ENSMUSG00000032691,Pro-apoptotic,GO_Pro_Human,1
NMT1,ENSG00000136448,Nmt1,ENSMUSG00000020936,Pro-apoptotic,"GO_Pro_Human,Reactome",2
NOD1,ENSG00000106100,Nod1,ENSMUSG00000038058,Pro-apoptotic,GO_Pro_Human,1
NODAL,ENSG00000156574,Nodal,ENSMUSG00000037171,Pro-apoptotic,GO_Pro_Human,1
OBSCN,ENSG00000154358,Obscn,ENSMUSG00000061462,Pro-apoptotic,GO_Pro_Human,1
OLFM1,ENSG00000130558,Olfm1,ENSMUSG00000026833,Pro-apoptotic,GO_Pro_Human,1
OMA1,ENSG00000162600,Oma1,ENSMUSG00000035069,Pro-apoptotic,"GO_Pro_Human,Reactome",2
PANO1,ENSG00000288675,,,Pro-apoptotic,GO_Pro_Human,1
PAWR,ENSG00000177425,Pawr,ENSMUSG00000035873,Pro-apoptotic,GO_Pro_Human,1
PCSK9,ENSG00000169174,Pcsk9,ENSMUSG00000044254,Pro-apoptotic,GO_Pro_Human,1
PDCD1,ENSG00000188389,Pdcd1,ENSMUSG00000026285,Pro-apoptotic,GO_Pro_Human,1
PDCD2,ENSG00000071994,Pdcd2,ENSMUSG00000014771,Pro-apoptotic,GO_Pro_Human,1
PDCD4,ENSG00000150593,Pdcd4,ENSMUSG00000024975,Pro-apoptotic,"GO_Pro_Human,Hallmark",2
PDCD5,ENSG00000105185,"Pdcd5,Pdcd5-ps",,Pro-apoptotic,GO_Pro_Human,1
PDCD6,ENSG00000249915,Pdcd6,ENSMUSG00000021576,Pro-apoptotic,GO_Pro_Human,1
PHLDA1,ENSG00000139289,Phlda1,ENSMUSG00000020205,Pro-apoptotic,GO_Pro_Human,1
PHLDA3,ENSG00000174307,Phlda3,ENSMUSG00000041801,Pro-apoptotic,GO_Pro_Human,1
PIAS4,ENSG00000105229,Pias4,ENSMUSG00000004934,Pro-apoptotic,GO_Pro_Human,1
PIK3CB,ENSG00000051382,Pik3cb,ENSMUSG00000032462,Pro-apoptotic,"GO_Pro_Human,KEGG",2
PIK3CD,ENSG00000171608,Pik3cd,ENSMUSG00000039936,Pro-apoptotic,"GO_Pro_Human,KEGG",2
PIP5KL1,ENSG00000167103,Pip5kl1,ENSMUSG00000046854,Pro-apoptotic,GO_Pro_Human,1
PLA2G1B,ENSG00000170890,Pla2g1b,ENSMUSG00000029522,Pro-apoptotic,GO_Pro_Human,1
